word,normal_cnt,abnormal_cnt
股民,199.0,4.0
律师,199.0,
腾讯,199.0,6.0
财报,199.0,
控股子公司,198.0,3.0
调研,198.0,1.0
福建,198.0,4.0
举行,197.0,1.0
互联网,197.0,4.0
临港新片区,197.0,
四大,197.0,3.0
获准,197.0,1.0
违法遭罚,196.0,3.0
分析,196.0,7.0
项,196.0,2.0
生物,195.0,5.0
期间,194.0,5.0
战疫,194.0,
维持,194.0,3.0
H股,194.0,2.0
观察,194.0,1.0
加码,194.0,1.0
整体,193.0,1.0
仅,193.0,2.0
专家,193.0,1.0
跌出,193.0,5.0
品牌,193.0,
天风,192.0,4.0
净利增速,192.0,5.0
文化,192.0,
混合型证券投资基金,192.0,5.0
证监会,191.0,6.0
价格,191.0,1.0
损失,191.0,3.0
自有资金购买,191.0,6.0
通报,191.0,7.0
优化,191.0,1.0
出任,191.0,
贵行,190.0,3.0
中小企业,189.0,1.0
名,189.0,9.0
涉及,189.0,5.0
内银股,188.0,7.0
全部,188.0,5.0
要求,187.0,1.0
场景,187.0,2.0
副,187.0,
承压,187.0,4.0
网点,186.0,12.0
金融业,186.0,
提示,186.0,4.0
需求,186.0,6.0
深,186.0,7.0
开通,185.0,4.0
多措并举,185.0,4.0
上海银保监局,185.0,
回复,185.0,1.0
持仓,185.0,1.0
支行终止营业,184.0,5.0
建议,184.0,7.0
可能,184.0,5.0
环境,184.0,
长期,183.0,3.0
注册,183.0,7.0
周报,183.0,2.0
监管局,183.0,7.0
优质,183.0,13.0
手机银行,183.0,2.0
下跌,183.0,4.0
食品,183.0,5.0
指标,182.0,1.0
交银,182.0,8.0
战略合作,182.0,2.0
重要,181.0,3.0
房贷利率,180.0,
美,180.0,2.0
纾,180.0,
山西,180.0,13.0
海南,179.0,9.0
博会,179.0,1.0
签约,179.0,4.0
出现,179.0,8.0
港元,179.0,4.0
动向,179.0,2.0
晨会,178.0,4.0
逆势,178.0,4.0
十大,178.0,3.0
进行现金管理到期赎回,177.0,9.0
已有,177.0,
余额,177.0,2.0
两年,177.0,2.0
混合型,177.0,2.0
目前,177.0,3.0
体系,177.0,
降薪,177.0,
全力支持,177.0,4.0
面临,176.0,2.0
没有,176.0,2.0
密集,176.0,
科创板,176.0,3.0
云南,176.0,4.0
份额,175.0,3.0
潮,175.0,8.0
安徽,175.0,
难,175.0,4.0
百万,175.0,2.0
成本,175.0,
长三角,174.0,2.0
计提,174.0,1.0
风控,173.0,1.0
没,173.0,6.0
固定,173.0,
地方,173.0,3.0
收到,172.0,
本周,172.0,3.0
机制,172.0,3.0
加快,172.0,2.0
e,172.0,9.0
贸易,172.0,1.0
净值型,172.0,
长城,172.0,1.0
农村,172.0,2.0
网络,172.0,3.0
生产,171.0,4.0
银,171.0,4.0
收,171.0,3.0
供应链,170.0,9.0
证券投资基金,170.0,1.0
能源,170.0,4.0
闲置,170.0,9.0
晨报,170.0,5.0
事项,170.0,1.0
划转,170.0,
见,169.0,1.0
一天,169.0,3.0
持有,169.0,6.0
ETC,169.0,
变,169.0,5.0
成长,169.0,2.0
成都,169.0,6.0
第三届,168.0,3.0
收购,168.0,1.0
还款,168.0,2.0
执行董事,168.0,1.0
三家,168.0,3.0
不断,168.0,1.0
以上,168.0,3.0
即将,167.0,
光电,166.0,3.0
贵金属,166.0,1.0
三方监管协议,166.0,5.0
大连,165.0,6.0
提前,165.0,2.0
制药,165.0,8.0
额度,165.0,4.0
排行榜,164.0,5.0
发起,164.0,2.0
抄底,163.0,5.0
重大,163.0,3.0
第一次,163.0,3.0
清算,163.0,3.0
解决,163.0,1.0
教育,163.0,1.0
主动,163.0,3.0
数字化,162.0,2.0
推,162.0,3.0
第四届,162.0,4.0
索赔,162.0,
创新高,161.0,5.0
环比,161.0,1.0
驱动,161.0,1.0
助推,161.0,3.0
期货,161.0,2.0
中小微企业,161.0,2.0
私行,161.0,
安全,161.0,2.0
新疆,160.0,2.0
今天,160.0,5.0
首,160.0,
新股,160.0,3.0
实业,160.0,1.0
湖南,160.0,7.0
用户,159.0,1.0
龙头,159.0,9.0
跑,159.0,
通,159.0,14.0
环保,158.0,1.0
定期开放,158.0,1.0
主力,158.0,2.0
变动,158.0,4.0
四季度,158.0,3.0
降准,158.0,8.0
使用闲置自有资金进行现金管理,158.0,7.0
探索,158.0,3.0
B,158.0,6.0
第七届,158.0,7.0
易方达,157.0,3.0
季报点评,157.0,
浙商银行,157.0,2.0
时间,156.0,1.0
破产,156.0,2.0
竞争,156.0,4.0
通讯方式,156.0,7.0
招募说明书,156.0,4.0
委托理财,155.0,5.0
对外担保,155.0,3.0
爆发,155.0,8.0
制造业,155.0,2.0
参加,154.0,4.0
困,154.0,
永续债发行,154.0,1.0
中国建设银行,154.0,2.0
出台,153.0,2.0
电气,153.0,4.0
多项,153.0,2.0
进一步,153.0,2.0
美国,153.0,6.0
正在,153.0,1.0
健康,153.0,3.0
资本充足率,153.0,
贷款余额,152.0,
